column_name,count,min,max,mean,std,pct_zero,pct_negative,n_unique,change_ratio,lag1_autocorr,median_abs_step,mean_abs_step,longest_constant_run
Val_1,60700,0.0,138.300003,67.70308731367908,49.71030295371452,21.059308072487646,0.0,598,0.39752883031301484,0.999398456390684,0.0,0.7075157820651575,186
Val_2,60700,18.0,53.0,36.26161449752883,7.498974994653058,0.0,0.0,36,0.039308072487644154,0.9996047789228804,0.0,0.04062669895714921,1714
Val_3,60700,24.0,86.0,59.06304777594728,22.13314569279849,0.0,0.0,63,0.13268533772652388,0.9998575696504696,0.0,0.13469744147350038,530
Val_4,60700,0.0,15.0100002,6.838937703402259,4.928028249751246,0.20428336079077428,0.0,112,0.3789291598023064,0.999531077443639,0.0,0.011166103865022849,56
Val_5,60700,0.0,91.6999969,44.25148268953644,32.50347149503604,34.28006589785832,0.0,440,0.31334431630971993,0.9996570730708064,0.0,0.2898037812204484,6606
Val_6,60700,2.0,402.0,249.37190778625967,180.32269191498045,0.0,0.0,826,0.333163097199341,0.9998688733182356,0.0,0.44178325533237783,2414
Val_7,60700,24.2000008,187.5,131.32930482695224,63.95652205531856,0.0,0.0,1363,0.3285337726523888,0.9999768489634678,0.0,0.10162119672647006,170
Val_8,60700,24.6000004,185.699997,131.962886338514,63.33592797331179,0.0,0.0,1417,0.3219110378912685,0.999985003918792,0.0,0.10568379863753935,218
Val_9,60700,24.7999992,183.300003,131.1203788007611,63.63469080814429,0.0,0.0,1310,0.23102141680395388,0.9999903343578965,0.0,0.05129424720011882,234
Val_10,60700,22.5,179.600006,128.33502967372652,63.82826607935901,0.0,0.0,1263,0.29787479406919276,0.9999885639711915,0.0,0.07025860753719229,172
Val_11,60700,22.5,179.699997,126.88392255707248,62.248489121405555,0.0,0.0,1309,0.1641515650741351,0.9999930625776289,0.0,0.039457403510766764,248
Val_12,60700,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,,0.0,0.0,60700
Val_14,60700,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,,0.0,0.0,60700
Val_15,60700,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,,0.0,0.0,60700
Val_19,60700,0.0,37.5,23.839001904400003,17.521965337330183,34.771004942339374,0.0,39,0.021235584843492587,0.9998032770809799,0.0,0.00839219834198265,13192
Val_20,60700,0.0,22.1000004,11.702116978686984,8.573086723625352,34.771004942339374,0.0,74,0.1783855024711697,0.9995630614568527,0.0,0.04213904013608122,6728
Val_21,60700,100.0,100.0,100.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,60700
Val_22,60700,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,,0.0,0.0,60700
Val_23,60700,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,,0.0,0.0,60700
Val_27,60700,24.0,175.300003,127.6500889880099,61.71640142212478,0.0,0.0,1288,0.38202635914332783,0.9999731224891162,0.0,0.20770519348094693,170
Val_28,60700,24.2000008,180.699997,131.9661550641944,63.180097358945574,0.0,0.0,1345,0.23421746293245468,0.9999911795286304,0.0,0.049516479357155814,240
Val_29,60700,23.7999992,182.600006,133.51563094681714,62.10659760616985,0.0,0.0,1499,0.1657166392092257,0.9999939549161243,0.0,0.03538816319049792,298
Val_30,60700,20.7000008,184.600006,131.19659531179244,66.2009856539722,0.0,0.0,1442,0.13054365733113674,0.9999817740067187,0.0,0.03557552424751641,176
Val_31,60700,21.0,185.0,131.60062768165403,66.2971365596852,0.0,0.0,1408,0.20023064250411862,0.9999810022629042,0.0,0.043100157269478016,242
Val_32,60700,24.5,182.199997,133.64669549782536,61.94515671992421,0.0,0.0,1459,0.15341021416803954,0.9999931651884758,0.0,0.03416226585775746,208
Val_33,60700,0.600000024,7.5,4.0472075733080395,2.3497517026544315,0.0,0.0,69,0.13509060955518945,0.9998322727714319,0.0,0.015064499090133281,1954
Val_34,60700,6.0,68.0,37.24894563426689,21.23349598226507,0.0,0.0,62,0.12672158154859967,0.9998167424444083,0.0,0.1388161254715893,1954
Val_35,60700,200.0,200.0,200.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,60700
Val_36,60700,200.0,200.0,200.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,60700
Val_37,60700,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,,0.0,0.0,60700
Val_38,60700,-100.0,100.0,11.212808896177267,16.088271602467287,34.808896210873144,3.2355848434925867,768,0.33112026359143326,0.9041334584523679,0.0,3.333409116497175,6494
Val_39,60700,0.0,100.0,10.233799014677428,9.774463706135204,32.63097199341021,0.0,314,0.31602965403624383,0.971698961411627,0.0,0.586886110412132,6514
Val_40,60700,0.0,100.0,4.846976936837693,8.400606967074213,33.67051070840198,0.0,217,0.23683690280065897,0.9783507264053133,0.0,0.27275902452195255,6514
Val_41,60700,0.0,100.0,1.2203130148643824,10.384570210732388,97.93080724876442,0.0,226,0.0061120263591433275,0.9874078974765994,0.0,0.05233035139389446,19626
Val_42,60700,0.0,100.0,7.5853657365458,10.593288189183884,33.36738056013179,0.0,227,0.3096869851729819,0.9815714469494297,0.0,0.41398045909454845,6494
Val_43,60700,0.0,100.0,1.3284662272553707,7.581143539194463,57.672158154859964,0.0,180,0.17617792421746292,0.970532325428909,0.0,0.19464571066017564,6514
Val_44,60700,0.0,100.0,20.50237560659473,15.485804038145032,32.93410214168039,0.0,477,0.3283855024711697,0.9813490432472541,0.0,0.8824856997585793,6514
Val_45,60700,0.0,100.0,9.819431630442141,9.881527928092595,34.790774299835256,0.0,352,0.32062602965403625,0.9666750684192781,0.0,0.7817278676281323,6514
Val_46,60700,-100.0,100.0,11.827803955855453,12.759274049904379,32.22405271828666,0.3228995057660626,427,0.31331136738056015,0.978069131125264,0.0,0.4224254095652647,6494
Val_47,60700,-100.0,100.0,0.4347133449380395,10.53859081265382,33.084019769357496,45.90444810543657,561,0.31485996705107083,0.9615299577881394,0.0,0.7205538802998074,6494
Val_48,60700,-100.0,100.0,-3.8082355930977596,14.759258307088915,32.23064250411862,65.16968698517299,451,0.21024711696869852,0.9846142610388218,0.0,0.24610290031545828,6494
